ID,Pension personal,Pension corporativa,Fondo inversión,Fondo inversión (extra),Acciones,Activos renta fija,Criptomonedas,Criptomonedas (extra),Hipoteca_actual,Hipoteca_adquirida_2y,Prestamo_personal_actual,Prestamo_personal_adquirido_2y,Tarjeta_credito_adquirida_2y,Descubierto_autorizado,Tarjeta_credito_para_efectivo,Hipoteca_flexible,Prestamo_contra_fondo_pension,Microcredito,Payday_loan,Empeño_en_casa_de_empeño,Ayuda_familia_comunidad,Prestamo_familia_comunidad
54,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
55,0,0,0,0,0,-98,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1
56,1,1,1,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
57,0,-98,0,0,-98,0,-98,-98,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
58,1,0,0,0,0,0,0,0,1,0,1,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
59,0,1,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
60,0,0,0,0,-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1,1,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
62,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
63,1,0,0,0,0,1,0,0,1,0,1,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
64,1,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
65,-97,0,0,0,0,-97,0,0,1,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
66,0,0,0,0,-98,-98,0,0,0,0,1,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
67,0,0,0,0,0,0,0,0,1,0,1,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
68,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
69,-98,0,0,0,-98,0,-98,-98,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
70,-98,-98,0,0,-98,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
71,0,0,0,0,0,0,1,1,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
72,0,0,0,0,-98,-98,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
73,1,-97,1,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
