cat_educacion,estado_laboral,familia,riq_inmob,ahorro,deuda,adq_ahorro2,adq_deuda2,adq_otro,ahorra_12m,consumo_ahorros,cred_inf,cred_form,cred_add,impago,ayudas,rechazo,semirechazo,nopiden,age,ID,year,inflacion_ok,interes_comp_ok,diversificacion_ok,weight,t_hipoteca,t_ppension_ind,t_ppension_emp,t_fondo_inv,t_acciones,t_prestamo,t_renta_fija,t_cuentas_depositos,adq_hipoteca,adq_ppension_ind,adq_ppension_emp,adq_fondo_inv,adq_acciones,adq_prest,adq_otros_act,adq_renta_fija,adq_cuentas_depositos,uso_cc,uso_ahorro_dep,venta_activos,prestamo_fam,prestamo_amig,tarjeta_cred,descubierto_auto,prest_garantia,linea_cred,prest_banc,prest_nobanc,otro_prest
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46,1341,2021,-1,-1,1,11766.511,0,-98,0,0,0,0,-98,0,0,-98,0,0,0,0,0,-98,0,1,0,0,0,0,0,0,0,0,0,0,0
Universidad,Asalariado,Otros adultos,Residencia principal y otras,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,44,1342,2022,0,1,1,877.7854,1,0,0,0,0,0,0,-98,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Autónomo,Otros adultos,Solo residencia principal,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,66,1343,2022,1,1,1,926.71802,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Otros adultos,Solo residencia principal,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,25,1344,2022,1,1,1,1290.8789,0,0,0,0,-98,0,-98,0,0,0,0,0,-98,0,0,-98,0,1,0,0,0,0,0,0,0,0,0,0,0
Educación Primaria,Asalariado,Vive con pareja,No posee residencia principal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1346,2022,0,1,1,4726.7817,0,0,0,-98,-98,1,1,0,0,0,0,-98,-98,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive con pareja,Residencia principal y otras,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,54,1348,2021,1,1,-1,3251.6033,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Educación Primaria,Otros inactivos,Vive con pareja,Residencia principal y otras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1349,2022,1,-1,1,2266.6924,0,-98,-98,-98,-98,-98,-98,-98,0,-98,-98,-98,-98,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,48,1350,2022,1,0,1,3630.2805,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Otros inactivos,Vive con pareja,Residencia principal y otras,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,47,1351,2022,1,1,1,3405.2051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Jubilado,Vive solo,Residencia principal y otras,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,77,1352,2022,1,1,1,947.70776,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Desempleado,Otros adultos,No posee residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57,1353,2022,1,1,-1,4062.6069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Otros inactivos,Vive con pareja,Residencia principal y otras,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,61,1354,2021,1,-1,-1,3970.5464,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Universidad,Asalariado,Vive con pareja,Solo residencia principal,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,31,1355,2021,1,-1,1,7648.2568,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Asalariado,Vive con pareja,No posee residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31,1356,2022,1,0,0,10686.327,0,0,-98,0,-98,0,-98,-98,0,0,-98,0,-98,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Jubilado,Vive con pareja,Residencia principal y otras,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,73,1357,2021,1,0,1,8903.5205,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Jubilado,Vive con pareja,Residencia principal y otras,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,66,1358,2021,1,0,0,7030.1216,0,0,0,0,0,0,-98,0,0,0,0,0,0,0,0,-98,0,0,0,0,1,0,0,0,0,0,0,0,0
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1359,2022,0,0,0,2745.791,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Jubilado,Vive con pareja,Residencia principal y otras,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,66,1360,2022,1,1,1,2441.2715,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,45,1361,2022,1,0,0,613.16241,0,0,0,0,0,0,-98,0,0,0,0,0,0,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive solo,No posee residencia principal,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,34,1362,2022,1,1,1,6103.4019,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Universidad,Asalariado,Vive con pareja,No posee residencia principal,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,47,1363,2022,0,1,-1,992.1662,1,-98,-98,-98,-98,1,-98,-98,0,-98,-98,-98,-98,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Asalariado,Otros adultos,Residencia principal y otras,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,25,1364,2021,1,1,1,6230.9326,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,36,1365,2022,1,1,0,1173.1149,1,-98,0,0,0,1,1,0,0,-98,0,0,0,1,0,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Otros adultos,Residencia principal y otras,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,25,1366,2021,0,-1,1,8827.0283,0,0,0,0,-98,0,-98,0,0,0,0,0,-98,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Jubilado,Vive con pareja,Residencia principal y otras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1367,2021,1,0,1,8911.2998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Asalariado,Otros adultos,Solo residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,55,1369,2021,0,0,1,3192.9832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,55,1370,2022,1,1,1,3037.1401,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Autónomo,Vive con pareja,Solo residencia principal,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,37,1371,2021,1,0,0,3693.9431,1,0,0,0,0,0,-98,0,0,0,0,0,0,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Otros inactivos,Vive con pareja,Solo residencia principal,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,55,1372,2022,0,0,-1,5783.2578,0,0,0,0,0,1,-98,-98,0,0,0,0,0,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Otros adultos,Residencia principal y otras,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,28,1373,2022,-1,0,1,3652.002,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Autónomo,Vive con pareja,Solo residencia principal,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,44,1374,2022,1,0,1,2724.3977,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Asalariado,Otros adultos,Residencia principal y otras,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,62,1375,2021,1,0,1,5161.269,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,54,1377,2022,0,1,-1,5197.6294,0,1,0,0,0,1,-98,0,0,0,0,0,0,1,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive solo,Residencia principal y otras,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,42,1378,2022,1,1,1,6034.5083,0,0,0,0,0,0,-98,0,0,0,0,0,0,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Otros adultos,Solo residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,1379,2022,1,0,1,6847.2734,0,0,0,0,-98,-98,-98,0,0,0,0,0,-98,-98,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50,1380,2022,1,1,1,3426.3093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,52,1381,2022,1,1,1,627.61884,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Jubilado,Vive con pareja,Solo residencia principal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1382,2021,1,0,1,7177.9956,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Desempleado,Vive solo,Solo residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57,1383,2022,-1,-1,0,1068.9749,0,-98,-98,0,0,0,-98,0,0,-98,-98,0,0,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,45,1384,2021,1,0,1,510.67456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,30,1385,2021,1,0,1,5356.8936,1,0,0,1,-98,0,0,0,0,0,0,0,-98,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Otros inactivos,Otros adultos,Solo residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,1386,2022,1,0,1,2231.0535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,41,1387,2022,1,1,1,2604.3804,1,0,0,0,0,0,-98,0,0,0,0,0,0,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,53,1388,2022,1,1,0,3775.0815,0,1,-97,0,0,1,1,0,0,0,-97,0,0,1,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Autónomo,Otros adultos,Residencia principal y otras,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,55,1389,2022,1,0,1,1638.7357,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive con pareja,No posee residencia principal,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,49,1390,2021,1,1,1,2868.8669,1,1,1,0,0,1,-98,1,0,0,1,0,0,1,0,-98,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Jubilado,Vive con pareja,Residencia principal y otras,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,67,1391,2022,1,1,1,3191.8196,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,43,1392,2022,1,1,1,3219.5227,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Autónomo,Vive con pareja,Solo residencia principal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1393,2022,1,0,1,2555.0371,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Otros adultos,No posee residencia principal,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,30,1394,2021,1,1,1,4146.7827,0,-98,0,-98,-98,0,-98,-98,0,-98,0,-98,-98,0,0,-98,-98,0,0,0,1,0,0,0,0,0,0,0,0
Educación Secundaria,Desempleado,Otros adultos,No posee residencia principal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1395,2022,0,-1,1,2737.4731,0,0,0,-98,-98,0,-98,0,0,0,0,-98,-98,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Desempleado,Otros adultos,No posee residencia principal,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,30,1396,2022,-1,0,-1,9772.126,0,0,-98,0,-98,0,-98,0,0,0,-98,0,-98,0,0,-98,0,0,0,0,1,0,0,0,0,0,0,0,0
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,52,1397,2022,1,-1,1,2746.9302,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Jubilado,Vive con pareja,No posee residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,72,1398,2022,1,1,0,4323.0454,-98,-98,0,-98,-98,-98,-98,-98,-98,-98,0,-98,-98,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Jubilado,Vive con pareja,Solo residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,67,1399,2022,-1,0,-1,8924.8916,0,0,-98,0,-98,0,-98,-98,0,0,-98,0,-98,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Otros inactivos,Otros adultos,Solo residencia principal,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,64,1400,2022,0,1,0,5163.2251,1,0,0,0,-98,1,-98,-98,0,0,0,0,-98,1,1,-98,-98,0,0,0,0,0,0,0,0,0,1,0,0
Educación Secundaria,Asalariado,Vive con pareja,Residencia principal y otras,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,66,1401,2022,1,1,1,874.32922,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive con pareja,Residencia principal y otras,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,53,1402,2022,1,0,1,1072.7111,1,-98,0,0,0,0,-98,-98,1,-98,0,0,0,0,0,-98,-98,1,0,0,0,0,0,0,0,0,0,0,0
Educación Secundaria,Asalariado,Vive con pareja,Residencia principal y otras,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1403,2021,1,-1,-1,6372.4639,1,0,0,0,0,0,-98,0,0,0,0,0,0,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Solo residencia principal,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,58,1404,2021,1,0,1,1918.7168,0,0,0,0,0,1,-98,0,0,0,0,0,0,1,0,-98,0,0,0,0,0,0,0,0,1,0,0,0,0
Universidad,Otros inactivos,Otros adultos,Solo residencia principal,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,27,1405,2022,1,0,1,4006.0378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Educación Primaria,Asalariado,Otros adultos,Solo residencia principal,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,30,1406,2022,-1,-1,-1,904.06152,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
Educación Primaria,Desempleado,Otros adultos,Residencia principal y otras,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1407,2022,1,1,0,4279.1787,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive con pareja,Residencia principal y otras,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,34,1408,2022,1,1,1,4609.5688,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,42,1409,2021,0,0,1,1605.4161,1,-98,0,-98,-98,1,-98,-98,0,-98,0,-98,-98,0,0,-98,-98,0,0,0,1,0,0,0,0,0,0,0,0
Universidad,Asalariado,Vive con pareja,Solo residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50,1410,2022,0,0,0,1613.3286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,47,1411,2022,1,0,-1,7912.7129,0,-98,0,0,0,1,0,-98,0,-98,0,0,0,1,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Asalariado,Vive con pareja,No posee residencia principal,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,42,1412,2021,1,0,0,3122.5071,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Otros inactivos,Otros adultos,Residencia principal y otras,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,21,1413,2021,1,0,1,1388.7678,0,0,0,0,0,0,-98,0,0,0,0,0,0,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Asalariado,Vive con pareja,Solo residencia principal,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,40,1414,2022,0,-1,0,7837.1646,1,1,0,0,-98,0,-98,0,0,0,0,0,-98,0,1,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Jubilado,Vive con pareja,Residencia principal y otras,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,1415,2022,1,1,0,4439.7515,0,1,1,1,0,0,1,-98,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Jubilado,Vive solo,No posee residencia principal,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,79,1416,2021,1,1,1,6339.4302,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Educación Secundaria,Asalariado,Vive con pareja,Residencia principal y otras,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,65,1417,2022,0,1,1,8106.271,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,41,1418,2021,1,0,0,4828.4106,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Jubilado,Vive con pareja,Residencia principal y otras,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,68,1419,2022,1,0,1,1505.589,0,0,0,0,0,0,-98,0,0,0,0,0,0,0,0,-98,0,1,0,0,0,0,0,0,0,0,0,0,0
Educación Secundaria,Asalariado,Vive solo,Solo residencia principal,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,30,1420,2022,0,1,0,3098.5088,0,-98,0,0,-98,0,-98,0,0,-98,0,0,-98,1,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,45,1421,2022,1,1,1,510.67456,1,1,1,0,0,0,-98,0,1,0,1,0,0,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Autónomo,Vive con pareja,Residencia principal y otras,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,62,1422,2022,0,0,1,2205.2485,0,1,0,0,0,1,-98,0,0,0,0,0,0,1,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive con pareja,Residencia principal y otras,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63,1423,2021,0,0,1,4297.7383,0,0,0,0,0,0,-98,0,0,0,0,0,0,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive con pareja,No posee residencia principal,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,54,1424,2022,0,1,1,3502.2612,0,0,0,0,0,1,-98,0,0,0,0,0,0,0,0,-98,0,0,0,0,0,1,0,0,0,0,0,0,0
Universidad,Asalariado,Otros adultos,Residencia principal y otras,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,56,1425,2022,1,1,1,2198.0681,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Autónomo,Vive con pareja,Residencia principal y otras,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,62,1426,2022,1,0,1,1147.8888,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Autónomo,Vive con pareja,No posee residencia principal,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,46,1427,2022,1,1,1,2419.1445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,41,1428,2022,1,1,1,5992.0986,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,42,1429,2022,1,0,1,1225.813,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Asalariado,Vive con pareja,Solo residencia principal,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,39,1431,2021,0,0,-1,3550.4658,1,0,0,0,0,0,-98,0,0,0,0,0,0,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,53,1432,2022,1,0,1,2953.5049,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,57,1433,2021,1,1,1,3037.1401,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Otros adultos,No posee residencia principal,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,45,1434,2022,1,-1,0,10340.464,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Universidad,Autónomo,Vive con pareja,Residencia principal y otras,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1435,2022,1,1,1,2683.1741,1,1,0,0,0,1,-98,0,0,0,0,0,0,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
