cat_educacion,estado_laboral,familia,riq_inmob,ahorro,deuda,adq_ahorro2,adq_deuda2,adq_otro,ahorra_12m,consumo_ahorros,cred_inf,cred_form,cred_add,impago,ayudas,rechazo,semirechazo,nopiden,age,ID,year,inflacion_ok,interes_comp_ok,diversificacion_ok,weight,t_hipoteca,t_ppension_ind,t_ppension_emp,t_fondo_inv,t_acciones,t_prestamo,t_renta_fija,t_cuentas_depositos,adq_hipoteca,adq_ppension_ind,adq_ppension_emp,adq_fondo_inv,adq_acciones,adq_prest,adq_otros_act,adq_renta_fija,adq_cuentas_depositos,uso_cc,uso_ahorro_dep,venta_activos,prestamo_fam,prestamo_amig,tarjeta_cred,descubierto_auto,prest_garantia,linea_cred,prest_banc,prest_nobanc,otro_prest
Educación Secundaria,Jubilado,Vive con pareja,Residencia principal y otras,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,72,21,2022,1,0,1,5570.4805,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50,22,2022,1,0,1,2760.2632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50,23,2022,0,0,-1,2312.7793,0,1,0,0,-98,0,1,0,0,0,0,0,-98,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Asalariado,Otros adultos,Solo residencia principal,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,53,24,2022,1,1,1,6174.7236,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Otros inactivos,Otros adultos,No posee residencia principal,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,20,25,2022,1,1,1,7510.5835,0,0,0,0,-98,0,1,0,0,0,0,0,-98,0,0,1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Autónomo,Vive con pareja,No posee residencia principal,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,44,26,2021,1,1,0,4119.1504,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Universidad,Asalariado,Vive con pareja,No posee residencia principal,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,30,27,2021,0,0,1,4064.5845,0,-98,-98,0,-98,1,-98,0,0,-98,-98,0,-98,1,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Secundaria,Otros inactivos,Otros adultos,Solo residencia principal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,28,2022,0,0,0,5536.6626,0,0,0,0,-98,0,-98,0,0,0,0,0,-98,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,47,29,2022,-1,0,-1,3368.5383,1,0,0,0,0,1,-98,0,0,0,0,0,0,0,0,-98,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
Educación Primaria,Autónomo,Vive solo,Residencia principal y otras,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54,30,2022,1,1,-1,2116.9226,1,1,0,1,0,0,1,-98,0,0,0,0,0,0,0,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
