i0900_1;i0900_2;i0900_3;i0900_4;i0900_5;fi0900;i0700_1;i0700_2;i0700_3;i0700_4;i0700_5;fi0700;j0700_1;j0700_2;j0700_3;j0700_4;j0700_5;fj0700;j0500_1;j0500_2;j0500_3;j0500_4;j0500_5;fj0500;i0300_1;i0300_2;i0300_3;i0300_4;i0300_5;fi0300;j1300_1;j1300_2;j1300_3;j1300_4;j1300_5;fj1300;weight;ID
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;1302;1302;1302;1302;1302;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;435.32391;31
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;200;200;200;200;200;0;-98;-98;-98;-98;-98;-98;3;4;2;3;4;1;3258.6951;32
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;434;434;434;434;434;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;2216.0696;33
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;3000;3000;3000;3000;3000;0;480;480;480;480;480;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;2722.5627;34
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;4881.1382;35
70;70;70;70;70;0;716.97693;470.07321;356.36551;254.2179;214.6628;1;2000;2000;2000;2000;2000;0;194.4827;422.46109;250.5459;680.35132;597.79138;1;-98;-98;-98;-98;-98;-98;4;4;5;4;5;1;2896.4443;36
50;50;50;50;50;0;600;600;600;600;600;0;1500;1500;1500;1500;1500;0;1025.877;1043.177;1006.077;1117.228;1607.213;1;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;2076.2737;37
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;30;30;30;30;30;0;868;868;868;868;868;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;2623.333;38
95;95;95;95;95;0;421.53961;200.62219;366.7739;496.27869;205.1754;1;1145.693;12471.92;1243.972;342.81689;886.64832;1;777.50702;317.49301;333.64511;387.92651;366.25989;1;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;3824.4146;39
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;2000;2000;2000;2000;2000;0;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;1967.3148;40
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;450;450;450;450;450;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;3290.9302;41
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;868;868;868;868;868;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;4076.2532;42
80;80;80;80;80;0;400;400;400;400;400;0;1000;1000;1000;1000;1000;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;2356.6753;43
100;100;100;100;100;0;767.40948;647.38953;611.50989;510.86801;308.59531;1;0;0;0;0;0;0;694.40002;694.40002;694.40002;694.40002;694.40002;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;4242.9326;44
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;250;250;250;250;250;0;581.90363;632.43671;627.00153;647.31512;596.29419;1;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;4491.1855;45
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;300;300;300;300;300;0;400;400;400;400;400;0;1;1;1;1;1;0;5128.6436;46
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;129.1451;2728.9771;622.00623;1855.472;572.07098;1;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;4315.9229;47
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;300;300;300;300;300;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;4798.5249;48
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;1000;1000;1000;1000;1000;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;1598.6246;49
100;80;80;80;73.354462;1;450;450;450;450;450;0;500;500;500;500;500;0;800;800;800;800;800;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;3492.3325;50
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;10168.982;51
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;2700;2700;2700;2700;2700;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;2387.012;52
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;200;200;200;200;200;0;200;200;200;200;200;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;6572.4419;53
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;1;1;1;1;1;0;5128.6436;54
110;110;110;110;110;0;300;300;300;300;300;0;200;200;200;200;200;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;3577.6797;55
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;800;800;800;800;800;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;2400.3083;56
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;702.37952;0;2483.8889;0;500.00009;1;400;400;400;400;400;0;750;750;750;750;750;0;4;4;4;4;4;0;10709.874;57
100;100;100;100;100;0;340;340;340;340;340;0;1500;1500;1500;1500;1500;0;434;434;434;434;434;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;8549.8076;58
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;2500;2500;2500;2500;2500;0;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;1028.299;59
100;80;100;100;33.271938;1;280;280;280;280;280;0;800;800;800;800;800;0;347.20001;347.20001;347.20001;347.20001;347.20001;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;1227.5958;60
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;343.436;599.43268;850.72101;311.5676;676.95569;1;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;652.36523;61
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;178.9675;208.6644;268.71179;393.78079;358.29449;1;170;170;170;170;170;0;2;2;2;2;2;0;2446.7585;62
40;40;40;40;40;0;706.50677;705.98242;758.80939;711.03009;790.79852;1;5000;5000;5000;5000;5000;0;466.72601;417.99341;469.6752;463.1019;470.85681;1;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;4688.5356;63
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;6523.1816;64
80;80;80;80;80;0;500;500;500;500;500;0;3617.936;3554.969;3099.6851;4051.8301;4593.042;1;350;350;350;350;350;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;1915.903;65
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;500;500;500;500;500;0;500;500;500;500;500;0;400;400;400;400;400;0;2;2;2;2;2;0;2322.7913;66
30;30;30;30;30;0;126;126;126;126;126;0;600;600;600;600;600;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;9876.0625;67
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1600;1600;1600;1600;1600;0;900;900;900;900;900;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;2135.7239;68
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;280;280;280;280;280;0;220;220;220;220;220;0;550;550;550;550;550;0;3;3;3;3;3;0;3605.3088;69
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;200;200;200;200;200;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;4439.7515;70
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;400;400;400;400;400;0;260.39999;260.39999;260.39999;260.39999;260.39999;0;570;570;570;570;570;0;4;4;4;4;4;0;4064.5845;71
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;872.05713;2000.119;322.82169;0;0;1;524.94989;474.74591;456.7963;440.80649;687.16217;1;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;2230.6831;72
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1500;1500;1500;1500;1500;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;5731.002;73
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;10000;10000;10000;10000;10000;0;1500;1500;1500;1500;1500;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;7648.2568;74
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;350;350;350;350;350;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;3446.0994;75
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;267.1192;279.96179;255.8018;224.20869;244.6174;1;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;5782.7886;76
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;2400;2400;2400;2400;2400;0;1500;1500;1500;1500;1500;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;7929.9287;77
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;3000;3000;3000;3000;3000;0;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;4;4;5;5;4;1;2585.3027;78
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;200;200;200;200;200;0;-98;-98;-98;-98;-98;-98;2;2;1;4;1;1;1972.7659;79
100;100;100;100;100;0;400;400;400;400;400;0;50;50;50;50;50;0;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;5023.0854;80
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;700;700;700;700;700;0;200;200;200;200;200;0;3;3;3;3;3;0;13028.378;81
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;500;500;500;500;500;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;2980.0684;82
