i0900_1;i0900_2;i0900_3;i0900_4;i0900_5;fi0900;i0700_1;i0700_2;i0700_3;i0700_4;i0700_5;fi0700;j0700_1;j0700_2;j0700_3;j0700_4;j0700_5;fj0700;j0500_1;j0500_2;j0500_3;j0500_4;j0500_5;fj0500;i0300_1;i0300_2;i0300_3;i0300_4;i0300_5;fi0300;j1300_1;j1300_2;j1300_3;j1300_4;j1300_5;fj1300;weight;ID
-98;-98;-98;-98;-98;-98;400;400;400;400;400;0;0;0;0;0;0;0;1000;1000;1000;1000;1000;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;9181.8721;2062
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1200;1200;1200;1200;1200;0;1302;1302;1302;1302;1302;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;6744.8794;2063
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;434;434;434;434;434;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;3390.2207;2064
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;9272;2065
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;350;350;350;350;350;0;720;720;720;720;720;0;1;1;1;1;1;0;3535.3687;2066
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;150;150;150;150;150;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;9796.0635;2067
40;40;40;40;40;0;373;373;373;373;373;0;0;0;0;0;0;0;434;434;434;434;434;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;2465.7102;2068
112.9243;115.625;115.1103;121.1502;121.3719;1;400;400;400;400;400;0;600;600;600;600;600;0;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;9215.6338;2069
80;80;80;80;80;0;600;600;600;600;600;0;1000;1000;1000;1000;1000;0;1200;1200;1200;1200;1200;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;6738.8394;2070
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;400;400;400;400;400;0;1500;1500;1500;1500;1500;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;3584.6667;2071
80;80;80;80;80;0;650;650;650;650;650;0;0;0;0;0;0;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;5378.9585;2072
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;250;250;250;250;250;0;450;450;450;450;450;0;4;4;4;4;4;0;3486.946;2073
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;2500;2500;2500;2500;2500;0;577.92749;528.65082;535.73108;523.66309;546.66663;1;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;6588.4902;2074
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;2544.0901;1168.743;4177.9619;18071.301;514.58221;1;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;5715.6382;2075
60;60;60;60;60;0;400;400;400;400;400;0;0;0;0;0;0;0;260.39999;260.39999;260.39999;260.39999;260.39999;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;6504.7988;2076
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;200;200;200;200;200;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;741.79401;2077
80;80;80;80;80;0;520;520;520;520;520;0;0;0;0;0;0;0;434;434;434;434;434;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;2776.8987;2078
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;800;800;800;800;800;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;4859.063;2079
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;260.39999;260.39999;260.39999;260.39999;260.39999;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;14108.372;2080
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;1500;1500;1500;1500;1500;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;3584.6667;2081
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;700;700;700;700;700;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;5310.5405;2082
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;150;150;150;150;150;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;3524.7698;2083
100;100;100;100;100;0;450;450;450;450;450;0;3000;3000;3000;3000;3000;0;700;700;700;700;700;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;2818.8914;2084
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;150;150;150;150;150;0;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;4956.5342;2085
80;80;80;80;80;0;347;347;347;347;347;0;212;212;212;212;212;0;347.20001;347.20001;347.20001;347.20001;347.20001;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;4351.9502;2086
90;90;90;90;90;0;414;414;414;414;414;0;3000;3000;3000;3000;3000;0;2000;2000;2000;2000;2000;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;2780.4102;2087
80;80;80;80;80;0;500;500;500;500;500;0;2000;2000;2000;2000;2000;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;5443.0859;2088
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;10000;10000;10000;10000;10000;0;1000;1000;1000;1000;1000;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;1121.5646;2089
80;80;80;80;80;0;600;600;600;600;600;0;1200;1200;1200;1200;1200;0;454.83929;475.16901;407.75031;425.62711;427.22879;1;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;900.63477;2090
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;3647.8445;2091
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;450;450;450;450;450;0;200;200;200;200;200;0;350;350;350;350;350;0;4;4;4;4;4;0;816.70599;2092
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;750;750;750;750;750;0;300;300;300;300;300;0;731;731;731;731;731;0;3;3;3;3;3;0;10456.802;2093
70;70;70;70;70;0;700;700;700;700;700;0;1000;1000;1000;1000;1000;0;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;1591.7944;2094
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1700;1700;1700;1700;1700;0;434;434;434;434;434;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;435.32391;2095
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;300;300;300;300;300;0;430;430;430;430;430;0;3;4;3;2;2;1;4972.2217;2096
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;334.091;533.48621;542.89581;563.41382;563.2207;1;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;14115.249;2097
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;6525.0547;2098
80;31.46884;102.2821;80;63.484619;1;390.1604;249.3187;188.9886;167.9642;297.9126;1;0;0;0;0;0;0;285.6998;429.2438;385.42761;282.41309;210.06779;1;-98;-98;-98;-98;-98;-98;1;3;3;3;2;1;9181.8721;2099
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;6133.7993;2100
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;2000;2000;2000;2000;2000;0;434;434;434;434;434;0;150;150;150;150;150;0;2;2;2;2;2;0;12197.557;2101
40;40;40;40;40;0;315;315;315;315;315;0;0;0;0;0;0;0;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;2672.7661;2102
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;203.98;203.98;203.98;203.98;203.98;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;10938.308;2103
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;855.05432;0;0;1;200;200;200;200;200;0;-98;-98;-98;-98;-98;-98;1;1;1;1;1;0;2623.333;2104
50;50;50;50;50;0;234.26041;234.2178;231.40289;233.0468;237.9234;1;0;0;0;0;0;0;150;150;150;150;150;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;4502.7231;2105
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;2118.0171;165.9993;8935.001;1432.851;564.4491;1;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;1641.8354;2106
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;800;800;800;800;800;0;500;500;500;500;500;0;400;400;400;400;400;0;5;5;5;5;5;0;1487.7899;2107
80;80;80;80;80;0;360;360;360;360;360;0;0;0;0;0;0;0;434;434;434;434;434;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;5691.2031;2108
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;651;651;651;651;651;0;450;450;450;450;450;0;3;3;3;3;3;0;10761.482;2109
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;4000;4000;4000;4000;4000;0;434;434;434;434;434;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;9126.8672;2110
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;250;250;250;250;250;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;8724.9658;2111
100;100;100;100;100;0;480;480;480;480;480;0;0;0;0;0;0;0;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;1811.4376;2112
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;400;400;400;400;400;0;950;950;950;950;950;0;2;2;2;2;2;0;2817.98;2113
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;478.84149;771.39282;826.41748;1114.449;261.28149;1;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;4257.9097;2114
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;217;217;217;217;217;0;-98;-98;-98;-98;-98;-98;1;1;1;1;1;0;1034.3625;2115
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;800;800;800;800;800;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;8813.5166;2116
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;1331.255;823.6413;716.96558;437.005;810.87231;1;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;1072.7111;2117
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1800;1800;1800;1800;1800;0;868;868;868;868;868;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;3969.0212;2118
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;2750;2750;2750;2750;2750;0;651;651;651;651;651;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;3075.8611;2119
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;240;240;240;240;240;0;173.60001;173.60001;173.60001;173.60001;173.60001;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;2739.5608;2120
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;6590.8188;2121
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;4000;4000;4000;4000;4000;0;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;4390.0986;2122
50;50;50;50;50;0;480;480;480;480;480;0;1000;1000;1000;1000;1000;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;5450.5098;2123
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;600;600;600;600;600;0;483.79169;915.13599;220.1723;393.10651;429.79309;1;415;415;415;415;415;0;2;2;2;2;2;0;2685.4058;2124
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;2000;2000;2000;2000;2000;0;300;300;300;300;300;0;500;500;500;500;500;0;3;3;3;3;3;0;1154.9005;2125
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;3832.9692;2126
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;303.79999;303.79999;303.79999;303.79999;303.79999;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;4828.2881;2127
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;200;200;200;200;200;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;3788.4868;2128
60;60;60;60;60;0;342;342;342;342;342;0;2000;2000;2000;2000;2000;0;800;800;800;800;800;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;3632.2009;2129
100;100;100;100;100;0;465;465;465;465;465;0;0;0;0;0;0;0;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;3458.218;2130
-98;-98;-98;-98;-98;-98;70;70;70;70;70;0;4000;4000;4000;4000;4000;0;868;868;868;868;868;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;6384.876;2131
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;6000;6000;6000;6000;6000;0;1302;1302;1302;1302;1302;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;2563.2383;2132
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;365.2384;491.04071;732.55511;465.00601;193.6973;1;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;14318.207;2133
80;80;80;80;80;0;370;370;370;370;370;0;0;0;0;0;0;0;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;3504.3582;2134
100;80;100;100.7033;80;1;400;400;400;400;400;0;400;400;400;400;400;0;700;700;700;700;700;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;3458.3938;2135
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;200;200;200;200;200;0;675;675;675;675;675;0;2;2;2;2;2;0;8827.0283;2136
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;2500;2500;2500;2500;2500;0;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;2931.3489;2137
100;100;100;80;100;1;600;600;600;600;600;0;0;0;0;0;0;0;250;250;250;250;250;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;6067.5879;2138
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1500;1500;1500;1500;1500;0;800;800;800;800;800;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;6624.731;2139
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;2000;2000;2000;2000;2000;0;409.69769;417.01889;409.88171;402.5957;492.60709;1;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;1209.9672;2140
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;400;400;400;400;400;0;800;800;800;800;800;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;9838.46;2141
100;100;100;100;100;0;450;450;450;450;450;0;0;0;0;0;0;0;434;434;434;434;434;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;3290.9302;2142
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;4000;4000;4000;4000;4000;0;1000;1000;1000;1000;1000;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;3760.5164;2143
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;403.5209;455.48041;411.71851;412.8472;460.17001;1;-98;-98;-98;-98;-98;-98;5;4;3;2;3;1;5174.7251;2144
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;130;130;130;130;130;0;250;250;250;250;250;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;4336.7969;2145
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;1002.8745;2146
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;50;50;50;50;50;0;225;225;225;225;225;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;3083.8181;2147
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;567.24933;538.7804;501.6572;575.80939;584.21259;1;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;2520.6379;2148
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;200;200;200;200;200;0;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;8650.7139;2149
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;1500;1500;1500;1500;1500;0;400;400;400;400;400;0;220;220;220;220;220;0;2;2;2;2;2;0;3458.3938;2150
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;4444.5005;2151
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;3000;3000;3000;3000;3000;0;700;700;700;700;700;0;650;650;650;650;650;0;2;2;2;2;2;0;9755.0859;2152
80;80;80;80;80;0;424;424;424;424;424;0;1000;1000;1000;1000;1000;0;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;3550.4658;2153
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;7000;7000;7000;7000;7000;0;1085;1085;1085;1085;1085;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;980.6629;2154
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;200;200;200;200;200;0;370;370;370;370;370;0;3;3;3;3;3;0;3196.1013;2155
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;434;434;434;434;434;0;-98;-98;-98;-98;-98;-98;2;2;3;1;4;1;5378.9585;2156
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;500;500;500;500;500;0;850;850;850;850;850;0;6;6;6;6;6;0;6069.48;2157
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;800;800;800;800;800;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;5257.625;2158
93.80719;129.76601;100;100;100;1;300;300;300;300;300;0;0;0;0;0;0;0;491.76291;322.20291;328.88419;423.9053;332.21979;1;-98;-98;-98;-98;-98;-98;1;1;1;1;1;0;3996.2432;2159
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;2500;2500;2500;2500;2500;0;263.48331;393.93011;669.85522;515.29303;460.0123;1;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;1935.4779;2160
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;100;100;100;100;100;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;3875.4531;2161
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;1110.3403;2162
-98;-98;-98;-98;-98;-98;450;450;450;450;450;0;2400;2400;2400;2400;2400;0;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;5071.2773;2163
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;600;600;600;600;600;0;485.51041;821.83472;346.1535;616.84772;447.24051;1;4;4;4;4;4;0;874.32922;2164
123.9745;100;91.0037;80;100;1;500;500;500;500;500;0;1000;1000;1000;1000;1000;0;100;100;100;100;100;0;-98;-98;-98;-98;-98;-98;1;1;1;1;1;0;8808.4004;2165
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;150;150;150;150;150;0;434;434;434;434;434;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;858.5954;2166
100;100;100;100;100;0;350;350;350;350;350;0;700;700;700;700;700;0;800;800;800;800;800;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;3575.4436;2167
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;158.2627;825.71088;103.2219;4611.6821;1404.358;1;800;800;800;800;800;0;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;4551.751;2168
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;100;100;100;100;100;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;926.59436;2169
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;320.20761;325.98441;315.9837;337.40961;343.5813;1;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;990.02783;2170
55;55;55;55;55;0;450;450;450;450;450;0;2800;2800;2800;2800;2800;0;434;434;434;434;434;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;8537.1738;2171
80;80;80;80;80;0;413;413;413;413;413;0;0;0;0;0;0;0;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;2875.5713;2172
80;80;80;80;80;0;600;600;600;600;600;0;3000;3000;3000;3000;3000;0;700;700;700;700;700;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;2020.8804;2173
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;200;200;200;200;200;0;500;500;500;500;500;0;2;2;2;2;2;0;5916.1616;2174
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;300;300;300;300;300;0;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;7151.0454;2175
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;600;600;600;600;600;0;500;500;500;500;500;0;950;950;950;950;950;0;4;4;4;4;4;0;5576.4092;2176
80;80;80;80;80;0;400;400;400;400;400;0;413.04611;647.85388;0;0;1459.552;1;700;700;700;700;700;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;6487.2446;2177
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;250;250;250;250;250;0;500;500;500;500;500;0;600;600;600;600;600;0;2;2;2;2;2;0;3077.272;2178
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;303.79999;303.79999;303.79999;303.79999;303.79999;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;3431.2034;2179
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;868;868;868;868;868;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;6339.4302;2180
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;868;868;868;868;868;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;6820.8057;2181
-98;-98;-98;-98;-98;-98;200;200;200;200;200;0;725;725;725;725;725;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;4703.2451;2182
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;868;868;868;868;868;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;1402.5752;2183
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;237.20959;241.1799;230.7439;225.56039;258.9129;1;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;7236.8037;2184
100;100;100;100;100;0;400;400;400;400;400;0;5500;5500;5500;5500;5500;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;3632.2009;2185
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;300;300;300;300;300;0;400;400;400;400;400;0;4;4;4;4;4;0;13421.166;2186
30;30;30;30;30;0;250;250;250;250;250;0;300;300;300;300;300;0;400;400;400;400;400;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;4351.9502;2187
-98;-98;-98;-98;-98;-98;1100;1100;1100;1100;1100;0;0;0;0;0;0;0;365.40109;596.71997;198.06979;298.75229;630.58362;1;-98;-98;-98;-98;-98;-98;5;5;5;5;5;0;4154.0249;2188
30;30;30;30;30;0;290;290;290;290;290;0;0;0;0;0;0;0;300;300;300;300;300;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;2624.7212;2189
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;434;434;434;434;434;0;-98;-98;-98;-98;-98;-98;2;2;2;2;2;0;6308.7793;2190
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;1000;1000;1000;1000;1000;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;5179.7939;2191
-98;-98;-98;-98;-98;-98;128;128;128;128;128;0;200;200;200;200;200;0;700;700;700;700;700;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;1594.511;2192
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;4000;4000;4000;4000;4000;0;750;750;750;750;750;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;1904.3735;2193
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;500;500;500;500;500;0;-98;-98;-98;-98;-98;-98;6;6;6;6;6;0;7456.3877;2194
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;5931.1411;2195
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;82.551559;88.761276;72.689453;97.145844;87.221931;1;868;868;868;868;868;0;-98;-98;-98;-98;-98;-98;3;3;3;3;3;0;2960.3625;2196
100;100;100;100;100;0;530;530;530;530;530;0;1000;1000;1000;1000;1000;0;600;600;600;600;600;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;2707.8708;2197
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;500;500;500;500;500;0;1302;1302;1302;1302;1302;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;2568.7681;2198
-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;-98;0;0;0;0;0;0;651;651;651;651;651;0;-98;-98;-98;-98;-98;-98;4;4;4;4;4;0;7457.9155;2199
